instrument_key,exchange_token,tradingsymbol,name,last_price
NSE_EQ|INE522F01014,20374,COALINDIA,COAL INDIA LTD,389.05
NSE_EQ|INE296A01032,317,BAJFINANCE,BAJAJ FINANCE LIMITED,905
NSE_EQ|INE066F01020,2303,HAL,HINDUSTAN AERONAUTICS LTD,4973.1
NSE_EQ|INE002A01018,2885,RELIANCE,RELIANCE INDUSTRIES LTD,1466.2
NSE_EQ|INE203G01027,11262,IGL,INDRAPRASTHA GAS LTD,205.67
NSE_EQ|INE467B01029,11536,TCS,TATA CONSULTANCY SERV LT,3435.7
NSE_EQ|INE0ONG01011,27176,NTPCGREEN,NTPC GREEN ENERGY LIMITED,110.26
NSE_EQ|INE079A01024,1270,AMBUJACEM,AMBUJA CEMENTS LTD,533.45
NSE_EQ|INE0J1Y01017,9480,LICI,LIFE INSURA CORP OF INDIA,936.55
NSE_EQ|INE040A01034,1333,HDFCBANK,HDFC BANK LTD,1964.7
NSE_EQ|INE603J01030,24184,PIIND,PI INDUSTRIES LTD,4121.5
NSE_EQ|INE202E01016,20261,IREDA,INDIAN RENEWABLE ENERGY,165.07
NSE_EQ|INE663F01032,13751,NAUKRI,INFO EDGE (I) LTD,1505.1
NSE_EQ|INE066A01021,910,EICHERMOT,EICHER MOTORS LTD,5525
NSE_EQ|INE752E01010,14977,POWERGRID,POWER GRID CORP. LTD.,293.1
NSE_EQ|INE271C01023,14732,DLF,DLF LIMITED,854.25
NSE_EQ|INE318A01026,2664,PIDILITIND,PIDILITE INDUSTRIES LTD,2956.1
NSE_EQ|INE042A01014,958,ESCORTS,ESCORTS KUBOTA LIMITED,3228.4
NSE_EQ|INE918I01026,16675,BAJAJFINSV,BAJAJ FINSERV LTD.,1986.2
NSE_EQ|INE758E01017,18143,JIOFIN,JIO FIN SERVICES LTD,294.25
NSE_EQ|INE089A01031,881,DRREDDY,DR. REDDY S LABORATORIES,1325.3
NSE_EQ|INE848E01016,17400,NHPC,NHPC LTD,82.31
NSE_EQ|INE982J01020,6705,PAYTM,ONE 97 COMMUNICATIONS LTD,871.2
NSE_EQ|INE761H01022,14413,PAGEIND,PAGE INDUSTRIES LTD,44925
NSE_EQ|INE494B01023,8479,TVSMOTOR,TVS MOTOR COMPANY  LTD,2812.1
NSE_EQ|INE646L01027,11195,INDIGO,INTERGLOBE AVIATION LTD,5390
NSE_EQ|INE0V6F01027,25844,HYUNDAI,HYUNDAI MOTOR INDIA LTD,2006.2
NSE_EQ|INE010B01027,7929,ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,957.1
NSE_EQ|INE302A01020,676,EXIDEIND,EXIDE INDUSTRIES LTD,380.25
NSE_EQ|INE634S01028,15380,MANKIND,MANKIND PHARMA LIMITED,2288.8
NSE_EQ|INE397D01024,10604,BHARTIARTL,BHARTI AIRTEL LIMITED,1936.7
NSE_EQ|INE192R01011,19913,DMART,AVENUE SUPERMARTS LIMITED,4300.3
NSE_EQ|INE775A08105,25510,MOTHERSON,SAMVARDHANA MOTHERSON INT,0
NSE_EQ|INE059A01026,694,CIPLA,CIPLA LTD,1499.7
NSE_EQ|INE377Y01014,25270,BAJAJHFL,BAJAJ HOUSING FINANCE LTD,119.64
NSE_EQ|INE343G01021,23489,BHARTIHEXA,BHARTI HEXACOM LIMITED,1819.2
NSE_EQ|INE797F01020,18096,JUBLFOOD,JUBILANT FOODWORKS LTD,695.8
NSE_EQ|INE180A01020,2142,MFSL,MAX FINANCIAL SERV LTD,1595.3
NSE_EQ|INE949L01017,21238,AUBANK,AU SMALL FINANCE BANK LTD,795.35
NSE_EQ|INE881D01027,10738,OFSS,ORACLE FIN SERV SOFT LTD.,9395.5
NSE_EQ|INE795G01014,467,HDFCLIFE,HDFC LIFE INS CO LTD,778.95
NSE_EQ|INE280A01028,3506,TITAN,TITAN COMPANY LIMITED,3519
NSE_EQ|INE298A01020,1901,CUMMINSIND,CUMMINS INDIA LTD,3271.5
NSE_EQ|INE155A01022,3456,TATAMOTORS,TATA MOTORS LIMITED,676.2
NSE_EQ|INE274J01014,17438,OIL,OIL INDIA LTD,464.9
NSE_EQ|INE012A01025,22,ACC,ACC LIMITED,1823
NSE_EQ|INE095A01012,5258,INDUSINDBK,INDUSIND BANK LIMITED,840.25
NSE_EQ|INE562A01011,14309,INDIANB,INDIAN BANK,615.65
NSE_EQ|INE195A01028,3363,SUPREMEIND,SUPREME INDUSTRIES LTD,4465.8
NSE_EQ|INE118H01025,19585,BSE,BSE LIMITED,2688.1
NSE_EQ|INE364U01010,3563,ADANIGREEN,ADANI GREEN ENERGY LTD,947.7
NSE_EQ|INE238A01034,5900,AXISBANK,AXIS BANK LIMITED,1220.7
NSE_EQ|INE044A01036,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,1665.1
NSE_EQ|INE338I01027,14947,MOTILALOFS,MOTILAL OSWAL FIN LTD,825.55
NSE_EQ|INE935N01020,21690,DIXON,DIXON TECHNO (INDIA) LTD,14047
NSE_EQ|INE002L01015,18883,SJVN,SJVN LTD,96.97
NSE_EQ|INE038A01020,1363,HINDALCO,HINDALCO  INDUSTRIES  LTD,649.15
NSE_EQ|INE031A01017,20825,HUDCO,HSG & URBAN DEV CORPN LTD,227.15
