symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,charges,pnl,holding_days
SHRIRAMFIN,2021-02-01,2021-03-30,265.12,282.2,87,NO_TARGET,65.83,1420.13,57
CHOLAFIN,2021-02-02,2021-03-30,451.14,549.4,66,NO_TARGET,85.25,6399.91,56
HINDPETRO,2021-02-05,2021-03-31,145.22,142.35,489,NO_TARGET,166.02,-1569.45,54
ADANIGREEN,2021-04-05,2021-04-12,1165.85,1099.8,60,SL,161.18,-4124.18,7
ASTRAL,2021-03-30,2021-04-13,1238.31,1112.05,31,SL,93.37,-4007.43,14
BHEL,2021-02-26,2021-04-22,48.24,43.5,345,NO_TARGET,48.9,-1684.2,55
UPL,2021-04-15,2021-04-23,621.59,581.5,99,SL,143.09,-4112.0,8
SAIL,2021-03-30,2021-05-03,77.89,127.75,388,FORCED_2DAY_AFTER_TARGET,99.07,19246.61,34
VEDL,2021-04-15,2021-05-03,198.49,234.45,372,FORCED_2DAY_AFTER_TARGET,186.88,13190.24,18
NATIONALUM,2021-03-30,2021-05-04,54.52,66.5,1047,FORCED_2DAY_AFTER_TARGET,150.02,12393.04,35
TATASTEEL,2021-03-30,2021-05-04,77.89,106.4,442,FORCED_2DAY_AFTER_TARGET,101.37,12500.05,35
CHOLAFIN,2021-04-23,2021-05-10,562.0,529.15,121,SL,156.98,-4131.83,17
COFORGE,2021-05-04,2021-05-10,585.92,635.5825,182,SL,253.06,8785.52,6
TORNTPHARM,2021-05-04,2021-05-12,1275.09,1353.57125,115,SL,339.04,8686.3,8
CHOLAFIN,2021-05-12,2021-05-14,557.17,528.5,139,SL,177.28,-4162.41,2
MAXHEALTH,2021-03-23,2021-05-17,205.82,214.5,162,NO_TARGET,87.84,1318.32,55
JINDALSTEL,2021-05-18,2021-05-26,442.85,388.55,73,SL,80.29,-4044.19,8
CHOLAFIN,2021-05-21,2021-05-27,576.57,541.4,113,SL,150.85,-4125.06,6
MAXHEALTH,2021-05-19,2021-06-14,226.23,250.510625,341,SL,188.89,8090.8,26
AMBUJACEM,2021-05-18,2021-06-18,313.26,340.71234375,301,SL,225.74,8037.42,31
SHRIRAMFIN,2021-06-03,2021-06-18,288.74,277.65,360,SL,234.24,-4226.64,15
APOLLOTYRE,2021-06-22,2021-06-24,227.88,220.0,507,SL,259.16,-4254.32,2
SAIL,2021-06-28,2021-07-06,132.66,123.7,446,SL,137.96,-4134.12,8
LTF,2021-06-22,2021-07-20,93.46,88.95,886,SL,188.79,-4184.65,28
