symbol,entry_date,exit_date,entry_price,exit_price,qty,reason,charges,pnl,holding_days
GRASIM,2024-02-12,2024-02-14,2192.91,2046.9,27,SL,138.11,-4080.38,2
UNITDSPR,2023-12-26,2024-02-19,1089.92,1126.45,94,NO_TARGET,238.46,3195.36,55
NAUKRI,2024-02-19,2024-03-05,1065.3,1013.0,76,SL,184.85,-4159.65,15
M&MFIN,2024-01-12,2024-03-06,281.05,278.0,278,NO_TARGET,181.89,-1029.79,54
LTF,2024-01-29,2024-03-06,168.19,157.15,362,SL,141.66,-4138.14,37
SHRIRAMFIN,2024-03-11,2024-03-13,493.56,469.8,168,SL,189.03,-4180.71,2
PFC,2024-01-25,2024-03-15,425.06,382.5,93,SL,95.78,-4053.86,50
ADANIENT,2024-01-30,2024-03-26,3108.16,3089.1,13,NO_TARGET,101.38,-349.16,56
COLPAL,2024-03-07,2024-03-27,2576.22,2709.7574999999997,56,SL,332.4,7145.7,20
PHOENIXLTD,2024-02-05,2024-04-01,1261.27,1390.5,38,NO_TARGET,122.71,4788.03,56
BANKINDIA,2024-02-14,2024-04-08,133.61,143.45,436,NO_TARGET,144.29,4145.95,54
ICICIBANK,2024-02-14,2024-04-08,1032.19,1076.3,85,NO_TARGET,207.13,3542.22,54
BHEL,2024-02-15,2024-04-09,227.33,253.35,153,NO_TARGET,93.51,3887.55,54
VEDL,2024-04-02,2024-04-12,278.64,361.95,211,FORCED_2DAY_AFTER_TARGET,158.73,17419.68,10
ETERNAL,2024-03-15,2024-04-15,158.09,189.3284375,290,SL,122.38,8936.77,31
HUDCO,2024-04-18,2024-04-19,200.5,191.25,432,SL,196.98,-4192.98,1
HUDCO,2024-04-22,2024-05-02,198.69,222.77765625,408,SL,198.87,9628.9,10
AMBUJACEM,2024-04-18,2024-05-07,625.11,593.45,126,SL,180.1,-4169.26,19
CHOLAFIN,2024-04-22,2024-05-07,1138.21,1306.35,106,FORCED_2DAY_AFTER_TARGET,291.97,17530.87,15
ADANIPORTS,2024-03-15,2024-05-08,1282.38,1269.05,42,NO_TARGET,129.99,-689.85,54
BAJAJFINSV,2024-04-22,2024-05-09,1636.89,1568.7,58,SL,214.92,-4169.94,17
APLAPOLLO,2024-05-02,2024-05-10,1592.82,1533.35,67,SL,240.21,-4224.7,8
RVNL,2024-04-23,2024-05-13,266.32,251.8,275,SL,168.22,-4161.22,20
TATAMOTORS,2024-05-09,2024-05-13,1020.08,977.0,92,SL,212.56,-4175.92,4
GLENMARK,2024-05-13,2024-05-15,1032.39,995.05,107,SL,248.26,-4243.64,2
MFSL,2024-03-27,2024-05-21,1015.05,996.4,48,NO_TARGET,118.61,-1013.81,55
ICICIGI,2024-05-07,2024-05-21,1696.29,1641.45,72,SL,273.39,-4221.87,14
COALINDIA,2024-05-15,2024-05-24,452.9,490.5796875,219,SL,236.25,8015.6,9
RVNL,2024-05-15,2024-05-27,277.38,377.0,145,FORCED_2DAY_AFTER_TARGET,115.67,14329.23,12
MAZDOCK,2024-05-15,2024-05-28,1187.41,1518.4,28,FORCED_2DAY_AFTER_TARGET,95.5,9172.22,13
PFC,2024-05-15,2024-05-29,428.33,510.1,157,FORCED_2DAY_AFTER_TARGET,172.17,12665.72,14
TIINDIA,2024-05-23,2024-05-31,3728.35,3620.0,36,SL,299.42,-4200.02,8
IGL,2024-05-27,2024-05-31,234.11,220.5,293,SL,158.24,-4145.97,4
IRFC,2024-05-15,2024-06-04,158.79,188.2125,254,SL,108.94,7364.38,20
CHOLAFIN,2024-06-03,2024-06-04,1262.08,1205.55,70,SL,200.74,-4157.84,1
TATASTEEL,2024-06-03,2024-06-04,168.79,163.35,735,SL,277.48,-4275.88,1
OIL,2024-06-03,2024-06-04,428.03,412.1,251,SL,241.74,-4240.17,1
SJVN,2024-06-03,2024-06-04,144.22,130.55,292,SL,101.3,-4092.94,1
AUBANK,2024-05-27,2024-06-06,626.22,669.5309374999999,191,SL,280.18,7992.21,10
PHOENIXLTD,2024-05-14,2024-06-21,1517.45,1798.95,30,FORCED_2DAY_AFTER_TARGET,121.07,8323.93,38
MUTHOOTFIN,2024-05-13,2024-07-08,1680.36,1770.0,23,NO_TARGET,99.91,1961.81,56
CHOLAFIN,2024-06-04,2024-07-29,1301.42,1364.1,46,NO_TARGET,146.34,2736.94,55
PIDILITIND,2024-06-05,2024-07-29,3101.78,3130.05,20,NO_TARGET,148.69,416.71,54
TORNTPHARM,2024-06-06,2024-07-30,2814.7,3103.0,16,NO_TARGET,116.19,4496.61,54
GLENMARK,2024-06-06,2024-07-30,1209.01,1428.25,23,NO_TARGET,79.58,4962.94,54
ASTRAL,2024-06-06,2024-07-30,2138.34,2189.0,19,NO_TARGET,103.06,859.48,54
VEDL,2024-06-06,2024-07-30,448.23,440.2,48,NO_TARGET,60.62,-446.06,54
PFC,2024-06-06,2024-07-30,453.1,547.25,69,NO_TARGET,88.46,6407.89,54
CUMMINSIND,2024-06-06,2024-07-30,3449.16,3757.95,11,NO_TARGET,99.72,3296.97,54
BHARTIARTL,2024-06-06,2024-07-30,1355.49,1464.05,29,NO_TARGET,102.41,3045.83,54
BIOCON,2024-06-06,2024-07-30,308.89,358.4,101,NO_TARGET,86.83,4913.68,54
BANDHANBNK,2024-06-06,2024-07-30,192.31,216.55,172,NO_TARGET,90.04,4079.24,54
ADANIENT,2024-06-06,2024-07-30,3165.75,3066.65,9,NO_TARGET,75.12,-967.02,54
JINDALSTEL,2024-06-06,2024-07-30,1018.72,956.1,34,NO_TARGET,87.09,-2216.17,54
EXIDEIND,2024-06-06,2024-07-30,498.98,530.0,57,NO_TARGET,77.67,1690.47,54
NHPC,2024-07-30,2024-08-02,106.31,103.5,1423,SL,336.0,-4334.63,3
TORNTPOWER,2024-07-29,2024-08-05,1581.87,1763.0,50,FORCED_2DAY_AFTER_TARGET,193.86,8862.64,7
BAJAJFINSV,2024-07-30,2024-08-05,1633.12,1569.05,62,SL,228.47,-4200.81,6
PIDILITIND,2024-08-08,2024-08-12,3211.98,3043.6,23,SL,169.71,-4042.45,4
POLICYBZR,2024-06-27,2024-08-16,1367.96,1564.9709375,42,SL,146.55,8127.91,50
SJVN,2024-08-08,2024-08-22,142.16,135.0,558,SL,181.3,-4176.58,14
ASIANPAINT,2024-07-30,2024-08-26,2979.93,3143.95671875,50,SL,343.29,7858.04,27
INDHOTEL,2024-08-22,2024-08-28,625.36,658.66,225,SL,324.76,7167.74,6
BHARTIHEXA,2024-08-26,2024-09-02,1151.23,1228.30359375,107,SL,287.84,7959.04,7
CGPOWER,2024-07-25,2024-09-17,712.54,715.45,59,NO_TARGET,105.31,66.38,54
KPITTECH,2024-09-13,2024-09-17,1859.2,1740.65,33,SL,142.75,-4054.9,4
COFORGE,2024-08-19,2024-09-18,1224.09,1372.0,60,FORCED_2DAY_AFTER_TARGET,181.53,8693.07,30
INDUSTOWER,2024-09-11,2024-09-19,432.05,416.8,262,SL,254.13,-4249.63,8
CIPLA,2024-08-07,2024-09-30,1550.06,1646.3,51,NO_TARGET,189.62,4718.62,54
TECHM,2024-08-07,2024-09-30,1510.52,1567.85,47,NO_TARGET,170.08,2524.43,54
MARICO,2024-08-08,2024-10-01,655.01,685.0,139,NO_TARGET,214.67,3953.94,54
TATACONSUM,2024-09-10,2024-10-03,1201.93,1168.75,120,SL,320.87,-4302.47,23
NYKAA,2024-09-20,2024-10-03,205.27,194.34,365,SL,171.85,-4161.3,13
HINDPETRO,2024-09-23,2024-10-03,405.32,435.498125,300,SL,285.23,8768.2,10
IGL,2024-09-30,2024-10-07,279.39,269.8,417,SL,261.24,-4260.27,7
CIPLA,2024-10-08,2024-10-11,1653.07,1577.3,52,SL,195.62,-4135.66,3
HAVELLS,2024-10-09,2024-10-17,1964.47,1900.95,62,SL,272.68,-4210.92,8
CHOLAFIN,2024-10-09,2024-10-17,1544.68,1462.0,48,SL,170.19,-4138.83,8
MARICO,2024-10-09,2024-10-17,703.1,673.8,136,SL,216.35,-4201.15,8
SHRIRAMFIN,2024-10-09,2024-10-17,677.97,651.2,149,SL,227.95,-4216.68,8
ETERNAL,2024-10-09,2024-10-18,282.3,261.6,193,SL,127.9,-4123.0,9
BANKBARODA,2024-10-21,2024-10-22,249.99,237.85,329,SL,187.59,-4181.65,1
TORNTPHARM,2024-09-23,2024-10-23,3499.31,3320.95,22,SL,176.34,-4100.26,30
CGPOWER,2024-10-08,2024-10-29,765.81,709.05,70,SL,126.03,-4099.23,21
TORNTPOWER,2024-10-30,2024-10-31,1873.47,1814.9,68,SL,284.67,-4267.43,1
HINDZINC,2024-10-29,2024-11-11,532.15,503.15,137,SL,167.52,-4140.52,13
WIPRO,2024-11-06,2024-11-12,274.06,287.11,574,SL,360.46,7130.24,6
MFSL,2024-11-18,2024-11-19,1241.33,1191.35,80,SL,224.26,-4222.66,1
HDFCBANK,2024-10-21,2024-11-29,1699.46,1793.369375,88,SL,344.55,7919.47,39
OBEROIRLTY,2024-10-11,2024-12-04,1903.07,2087.25,28,NO_TARGET,134.47,5022.57,54
BSE,2024-11-29,2024-12-12,1540.66,1870.0,35,FORCED_2DAY_AFTER_TARGET,142.21,11384.69,13
COFORGE,2024-10-24,2024-12-17,1537.15,1856.0,20,NO_TARGET,87.22,6289.78,54
MAXHEALTH,2024-11-25,2024-12-19,1012.03,1168.91828125,52,SL,136.05,8022.14,24
PATANJALI,2024-11-29,2024-12-20,1809.5,1749.3,66,SL,267.54,-4240.74,21
TECHM,2024-11-07,2024-12-31,1706.24,1682.45,48,NO_TARGET,189.69,-1331.61,54
ICICIBANK,2024-12-26,2024-12-31,1311.02,1287.05,166,SL,478.67,-4457.69,5
HCLTECH,2024-12-03,2024-12-03,1887.94,1887.94,0,EOD_EXIT,0.0,0.0,0
UNITDSPR,2024-12-18,2024-12-18,1575.54,1575.54,0,EOD_EXIT,0.0,0.0,0
PHOENIXLTD,2024-12-24,2024-12-24,1683.37,1683.37,0,EOD_EXIT,0.0,0.0,0
BIOCON,2024-12-27,2024-12-27,349.64,349.64,0,EOD_EXIT,0.0,0.0,0
HUDCO,2025-01-01,2025-01-01,237.6,237.6,0,EOD_EXIT,0.0,0.0,0
APLAPOLLO,2025-01-01,2025-01-01,1587.9,1587.9,0,EOD_EXIT,0.0,0.0,0
